Id;Default
Apr;Apr
April;April
Aug;Aug
August;August
Dec;Dec
December;December
Feb;Feb
February;February
Fri;Fri
Friday;Friday
Jan;Jan
January;January
Jul;Jul
July;July
Jun;Jun
June;June
Mar;Mar
March;March
May;May
May_3Letter;May
Mon;Mon
Monday;Monday
Nov;Nov
November;November
Oct;Oct
October;October
Sat;Sat
Saturday;Saturday
Sep;Sep
September;September
Sun;Sun
Sunday;Sunday
Thu;Thu
Thursday;Thursday
Tue;Tue
Tuesday;Tuesday
Wed;Wed
Wednesday;Wednesday
;
